x,y
-92039,-247228.69
-30938,-81644.98
-51521,-137424.91
98762,269842.02
-19226,-49905.46
-72461,-194172.31
22502,63177.42
20451,57619.21
71227,195222.17
-28237,-74325.27
38505,106545.55
20994,59090.74
-2259,-3924.89
-77208,-207036.68
55724,153209.04
22051,61955.21
-35118,-92972.78
-77539,-207933.69
-29937,-78932.27
-87245,-234236.95
-84537,-226898.27
-631,486.99
-16927,-43675.17
-60351,-161354.21
-64424,-172392.04
81206,222265.26
-54768,-146224.28
-76491,-205093.61
69206,189745.26
-26398,-69341.58
37859,104794.89
28427,79234.17
55197,151780.87
-78710,-211107.1
17835,50529.85
13336,38337.56
-3461,-7182.31
-99990,-268775.9
55224,151854.04
-12379,-31350.09
-59648,-159449.08
-6328,-14951.88
-10635,-26623.85
-12957,-32916.47
-40697,-108091.87
72547,198799.37
-54041,-144254.11
77052,211007.92
7572,22717.12
-45997,-122454.87
39319,108751.49
1562,6430.02
52735,145108.85
-25412,-66669.52
-76350,-204711.5
71234,195241.14
-43590,-115931.9
20937,58936.27
-17974,-46512.54
-84045,-225564.95
49274,135729.54
-8760,-21542.6
14711,42063.81
23081,64746.51
51887,142810.77
-98696,-265269.16
9207,27147.97
-78892,-211600.32
-47494,-126511.74
-59375,-158709.25
-67687,-181234.77
2329,8508.59
53652,147593.92
-89575,-240551.25
-66533,-178107.43
50925,140203.75
-96462,-259215.02
-89725,-240957.75
-98567,-264919.57
-30382,-80138.22
-95288,-256033.48
-92552,-248618.92
77432,212037.72
-54507,-145516.97
45279,124903.09
85770,234633.7
30384,84537.64
77340,211788.4
-17481,-45176.51
79677,218121.67
-80932,-217128.72
87692,239842.32
-80101,-214876.71
47319,130431.49
56986,156629.06
-36318,-96224.78
89653,245156.63
12773,36811.83
39470,109160.7
-10042,-25016.82
12611,36372.81
-50776,-135405.96
39695,109770.45
-89318,-239854.78
4149,13440.79
-38536,-102235.56
74937,205276.27
62055,170366.05
93221,254825.91
-60983,-163066.93
20366,57388.86
99722,272443.62
-19656,-51070.76
-84645,-227190.95
-65870,-176310.7
14856,42456.76
-86940,-233410.4
41423,114453.33
-94676,-254374.96
-41966,-111530.86
2601,9245.71
-78135,-209548.85
88898,243110.58
77632,212579.72
34891,96751.61
-4246,-9309.66
-78116,-209497.36
56085,154187.35
-27192,-71493.32
-91034,-244505.14
38112,105480.52
-42035,-111717.85
14563,41662.73
65060,178509.6
-94764,-254613.44
22150,62223.5
-36737,-97360.27
-304,1373.16
-75290,-201838.9
-12042,-30436.82
10618,30971.78
4784,15161.64
13419,38562.49
74656,204514.76
-57783,-154394.93
-86886,-233264.06
80886,221398.06
-45958,-122349.18
40748,112624.08
-30326,-79986.46
87116,238281.36
-76638,-205491.98
55566,152780.86
-50957,-135896.47
34254,95025.34
-24693,-64721.03
18597,52594.87
99393,271552.03
-92229,-247743.59
-30445,-80308.95
-821,-27.91
-29169,-76850.99
4484,14348.64
13184,37925.64
58207,159937.97
96059,262516.89
70525,193319.75
65248,179019.08
21167,59559.57
-4451,-9865.21
55776,153349.96
-46906,-124918.26
-97167,-261125.57
-71233,-190844.43
96410,263468.1
66728,183029.88
21864,61448.44
41433,114480.43
-97640,-262407.4
46531,128296.01
-71113,-190519.23
87958,240563.18
89697,245275.87
-81652,-219079.92
-42338,-112538.98
44426,122591.46
79885,218685.35
85101,232820.71
-29835,-78655.85
53108,146119.68
90490,247424.9
18201,51521.71
-36756,-97411.76
-39225,-104102.75
-5195,-11881.45
42825,118252.75
-99284,-266862.64
-89427,-240150.17
-22720,-59374.2
-23948,-62702.08
-39815,-105701.65
-77097,-206735.87
99204,271039.84
-56970,-152191.7
82055,224566.05
80686,220856.06
-46509,-123842.39
-68772,-184175.12
64193,176160.03
-89006,-239009.26
-41875,-111284.25
